City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
468,Port Moresby,PG,85.42,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
470,Honiara,SB,83.12,heavy intensity rain,-9.4333,159.95,Heritage Park Hotel
472,Maturin,VE,75.04,overcast clouds,9.75,-63.1767,"Residential Hotel ""La Pichincha"""
474,Ban Phai,TH,89.82,few clouds,16.06,102.731,Inpawa Hotel
479,Kiunga,PG,85.32,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
480,Purna,IN,78.69,clear sky,19.1833,77.05,N G tea Stall
482,Delmas,HT,75.92,broken clouds,18.5447,-72.3028,Idéal Villa Hôtel
490,Daru,PG,85.23,overcast clouds,-9.0763,143.2092,Daru Lodge
493,Pringsewu,ID,85.75,overcast clouds,-5.3582,104.9744,Urban Style by Front One
494,Ratnagiri,IN,86.56,clear sky,16.9833,73.3,Hotel Landmark
504,Altamira,BR,77.94,overcast clouds,-3.2033,-52.2064,Requinte Hotel
505,Manggar,ID,84.49,overcast clouds,-2.8833,108.2667,Guest Hotel
511,Carutapera,BR,76.37,overcast clouds,-1.195,-46.02,Lidera
513,Tual,ID,83.79,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
518,Trairi,BR,78.87,broken clouds,-3.2778,-39.2689,janelas do mar
521,Vryburg,ZA,77.11,clear sky,-26.9566,24.7284,The Times Premier Lodge
523,Anloga,GH,80.47,broken clouds,5.7947,0.8973,Pin Drop Hotel
537,Harper,LR,76.55,scattered clouds,4.375,-7.7169,Screensaver
555,Manaus,BR,79.3,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
557,Sungairaya,ID,87.48,broken clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
564,Sinjai,ID,83.41,overcast clouds,-5.1241,120.253,Wisma Sandika
567,Tarakan,ID,85.5,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
569,Dhidhdhoo,MV,81.9,scattered clouds,6.8833,73.1,Dhidhoo beach
570,Gawler,AU,75.09,clear sky,-34.6,138.7333,Eagle Foundry Bed & Breakfast
573,Pasni,PK,83.64,clear sky,25.2631,63.471,Kashmiri Hotal
574,Rantauprapat,ID,86.59,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
575,Tete,MZ,80.69,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
577,Kokoda,PG,82.6,overcast clouds,-8.8785,147.7407,Daito Guest House
578,Namwala,ZM,78.28,clear sky,-15.7504,26.4384,Corner Point Lodge
579,Bafoulabe,ML,76.55,broken clouds,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
582,Gizo,SB,84.02,scattered clouds,-8.103,156.8419,Imagination Island
586,Cuiaba,BR,75.13,clear sky,-15.5961,-56.0967,Getúllio Hotel
596,Lorengau,PG,84.43,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
597,Santo Antonio Do Leverger,BR,75.58,clear sky,-15.8656,-56.0767,Chácara Do SINETRAN
612,Basar,IN,76.82,scattered clouds,27.9833,94.6667,Dolma Group of Hotels
624,San Policarpo,PH,77.99,moderate rain,12.1791,125.5072,Agapita M. Nicart
